		188146
1000777	239877	143
1000778	155235	180
1000778	161325	8
1000778	226841	93
1000778	241751	1
1000780	152466	5
1000780	187120	30
1000782	198271	20
1000784	247521	55
1000786	165400	14
1000788	163381	19
1000788	177822	22
1000788	184760	95
1000788	189718	783
1000788	210489	6
1000788	229871	199
1000790	168286	58
1000791	165458	30
1000791	200791	31
1000792	158093	41
1000792	184433	32
1000792	202856	8
1000793	243627	82
1000794	192312	62
1000795	218186	54
1000795	245207	4
1000796	172980	32
1000797	198145	4
1000797	243182	47
1000799	162365	5
1000800	216995	56
1000801	186984	128
1000801	212880	40
1000802	153213	12
1000802	158933	3
1000802	236252	97
1000804	214247	18
1000804	248536	9
1000805	159822	12
1000805	164433	2
1000805	200665	62
1000805	203790	30
1000805	230947	99
1000806	171265	11
1000806	202753	26
1000806	213562	15
1000807	246642	213
1000808	241814	69
1000808	242728	116
1000808	247607	60
1000811	234122	83
1000812	177542	47
1000812	185084	535
1000814	198017	1
1000815	169575	8
1000815	192179	54
1000815	226647	1
1000815	238027	33
1000816	154054	3
1000816	249060	83
1000817	175906	13
1000817	233079	50
1000817	240595	28
1000818	200538	80
1000820	201703	9
1000820	202642	11
1000821	165230	9
1000821	211779	29
1000822	212455	9
1000823	155242	88
1000823	202603	1
1000824	244205	195
1000825	167861	12
1000826	174188	4
1000828	189451	151
1000828	226646	2
1000828	240293	211
1000829	195754	436
1000829	226656	1
1000830	197889	39
1000832	163931	38
1000832	166120	3
1000833	167012	34
1000833	242427	55
1000833	247693	309
1000834	196032	270
1000834	200405	51
1000834	202559	5
1000834	228492	53
1000835	160218	13
1000835	177263	25
1000835	192046	32
1000836	217365	20
1000838	149982	6
1000838	161887	9
1000838	186307	33
1000838	243706	100
1000839	231977	12
1000839	244345	143
1000840	170852	35
1000840	243311	35
1000841	150890	10
1000841	212637	1
1000841	239991	60
1000842	174008	24
1000842	236229	50
1000842	239098	486
1000843	152019	37
1000843	202522	38
1000844	235760	131
1000845	212237	18
1000845	233657	136
1000846	226964	148
1000846	244047	64
1000847	197758	35
1000847	232122	1
1000848	151965	17
1000848	198998	6
1000848	204486	3
1000849	167548	44
1000849	200271	16
1000850	241711	32
1000851	238155	112
1000852	194727	416
1000852	194730	3
1000852	231520	28
1000854	244485	49
1000855	211387	6
1000855	248206	28
1000856	191912	51
1000856	229996	206
1000857	173829	12
1000858	154849	52
1000859	232733	1
1000861	158522	24
1000862	214891	21
1000863	176911	87
1000863	193009	49
1000863	197627	45
1000863	200172	5
1000863	213864	27
1000864	226481	138
1000864	232113	89
1000866	172128	9
1000866	199784	78
1000866	215373	24
1000866	226632	2652
1000866	243389	50
1000867	165882	16
1000867	240040	64
1000867	243889	54
1000868	183775	164
1000868	225731	19
1000868	230617	1
1000868	231062	114
1000869	189184	254
1000869	193827	94
1000871	185977	163
1000871	237255	654
1000872	194189	351
1000872	247818	114
1000873	170438	17
1000873	248788	29
1000874	167235	4
1000874	215977	6
1000874	234235	96
1000875	195761	1
1000875	243837	250
1000876	191779	376
1000876	246890	160
1000877	161409	5
1000877	184100	4
1000877	200072	14
1000877	216572	15
1000877	217745	93
1000877	244628	82
1000878	152711	52
1000878	155643	70
1000878	160387	6
1000879	201448	11
1000879	240708	164
1000880	197498	78
1000880	233193	105
1000881	201997	2
1000883	232722	382
1000883	236356	156
1000884	210192	2
1000884	243785	44
1000885	168722	17
1000885	178292	44
1000886	245160	34
1000887	199649	73
1000888	160781	1
1000888	163466	6
1000888	180838	87
1000888	242540	30
1000889	184263	29
1000890	186239	35
1000890	208300	2
1000890	232248	3
1000891	173410	51
1000891	204146	59
1000892	176560	87
1000892	238281	104
1000893	154460	111
1000893	244965	14
1000894	167210	24
1000895	164509	13
1000896	197368	43
1000897	180695	52
1000897	191645	100
1000898	162450	41
1000900	228610	156
1000900	243674	49
1000900	244770	62
1000901	184425	1
1000901	230596	229
1000902	160138	1
1000902	180999	42
1000904	243515	77
1000905	150445	28
1000905	157317	26
1000906	180551	124
1000907	152496	7
1000908	227849	232
1000908	229052	107
1000909	165589	13
1000909	170012	76
1000909	188916	145
1000909	213490	16
1000911	235403	3
1000911	247945	49
1000911	248909	55
1000912	227083	67
1000912	245285	18
1000913	185404	211
1000913	197234	63
1000914	152441	12
1000914	167185	80
1000914	193750	1
1000914	214170	5
1000915	212814	50
1000915	235717	1
1000915	243562	21
1000916	181160	41
1000916	245710	563
