,year,month,weeknum,weekday,freq_complian,freq_motor
478,2010,3,11,3,1546,
479,2006,7,29,1,1506,
480,2010,4,15,6,1333,
481,2011,6,25,1,1447,
482,2012,5,21,5,1495,
483,2006,7,29,7,1292,
484,2013,5,19,6,1357,523
485,2012,5,21,3,1638,
486,2015,12,49,3,1326,655
487,2010,6,24,1,1458,
488,2010,6,24,7,1170,
489,2014,10,42,3,1588,575
490,2008,1,2,4,1699,
491,2006,5,19,3,1695,
492,2007,1,3,6,1281,
493,2006,7,30,4,1595,
494,2012,7,30,6,1426,512
495,2015,9,38,5,1599,760
496,2012,5,22,2,1635,
497,2011,12,48,6,1231,
498,2009,11,45,4,1538,
499,2006,6,24,7,1208,
500,2007,4,14,2,1422,
501,2008,3,12,4,1553,
502,2014,7,29,3,1547,551
503,2010,8,32,3,1649,
504,2008,8,34,1,1558,
505,2013,12,51,1,1310,640
506,2014,12,51,2,1315,645
507,2011,7,28,3,1569,
508,2013,12,51,7,1304,505
509,2008,12,51,2,1496,
510,2011,7,28,5,1562,
511,2008,12,51,4,1553,
512,2014,9,39,5,1388,643
513,2008,5,22,6,1283,
514,2014,9,39,3,1466,565
515,2008,4,14,7,1293,
516,2010,3,9,1,1281,
517,2006,8,35,2,1430,
518,2010,5,21,7,1200,
519,2011,4,13,7,1192,
520,2014,8,35,4,1526,618
521,2014,7,27,5,1304,360
522,2008,4,16,5,1511,
523,2013,12,49,7,1139,456
524,2008,4,16,3,1570,
525,2010,11,46,6,1425,
526,2008,2,9,4,1441,
527,2014,5,19,7,1178,584
528,2014,9,36,2,1558,700
529,2014,1,5,1,1248,511
530,2011,6,24,2,1483,
531,2011,3,9,2,1419,
532,2014,4,14,3,1440,519
533,2006,12,48,5,1491,
534,2007,11,45,2,1423,
535,2009,12,51,7,801,
536,2007,4,17,1,1547,
537,2009,4,15,1,1334,
538,2011,10,41,1,1291,
539,2007,4,17,7,1311,
540,2012,3,13,1,1366,
541,2006,8,31,2,1535,
542,2010,5,18,2,1594,
543,2007,11,48,3,1481,
544,2010,7,26,4,1539,
545,2008,5,21,3,1642,
546,2011,7,30,1,1456,
547,2006,8,31,4,1587,
548,2011,12,51,5,1332,
549,2007,11,47,2,1449,
550,2007,6,26,4,1467,
551,2009,8,33,7,1295,
552,2013,9,36,7,1313,500
553,2012,6,24,5,1559,
554,2007,1,4,5,1229,
555,2013,6,23,3,1561,599
556,2008,8,34,7,1306,
557,2006,3,11,7,1158,
558,2007,5,20,7,1297,
559,2010,8,33,6,1326,
560,2011,7,29,4,1527,
561,2013,1,2,3,1469,487
562,2008,3,11,1,1466,
563,2008,3,11,7,1158,
564,2014,3,13,5,1435,530
565,2010,1,4,2,1537,
566,2012,12,50,5,1404,648
567,2011,12,52,6,1118,
568,2014,11,45,7,1241,419
569,2010,5,20,4,1625,
570,2013,5,18,3,1500,576
571,2012,6,24,3,1526,
572,2009,4,15,7,937,
573,2013,8,31,5,1456,626
574,2014,10,41,6,1230,546
575,2014,3,13,3,1387,563
576,2008,4,17,6,1301,
577,2009,2,9,5,1576,
578,2008,1,3,1,1482,
579,2007,1,2,1,1502,
580,2006,7,31,1,1613,
581,2011,2,5,3,1174,
582,2010,6,26,1,1541,
583,2011,10,40,2,1402,
584,2013,11,46,5,1517,617
585,2012,3,12,2,1541,
586,2015,7,31,2,1437,643
587,2014,1,2,4,1400,561
588,2007,2,5,7,1018,
589,2014,12,50,1,1163,578
590,2008,12,50,5,1466,
591,2014,4,15,6,1338,578
592,2006,2,9,2,1460,
593,2008,6,23,4,1612,
594,2013,5,20,3,1547,532
595,2008,5,18,6,1365,
596,2013,9,40,1,1554,605
597,2014,7,27,3,1370,658
598,2013,6,22,6,1242,631
599,2011,4,16,2,1339,
600,2010,2,8,5,788,
601,2012,6,26,1,1386,
602,2008,3,10,2,1497,
603,2014,8,34,7,1386,437
604,2007,10,42,2,1711,
605,2011,5,18,3,1392,
606,2009,2,7,1,1331,
607,2007,3,12,7,1270,
608,2006,2,7,2,1311,
609,2010,11,47,5,1362,
610,2011,4,15,1,1436,
611,2006,2,7,4,1636,
612,2011,2,7,1,1208,
613,2014,1,4,2,930,1161
614,2008,6,25,4,1612,
615,2010,4,14,5,1543,
616,2012,6,25,4,1459,
617,2008,2,6,7,1169,
618,2010,8,31,4,1517,
619,2014,6,26,1,1410,643
620,2006,8,34,1,1677,
621,2015,2,8,4,1127,515
622,2008,1,2,2,1699,
623,2010,5,19,1,1409,
624,2010,5,19,7,1199,
625,2006,7,30,2,1715,
626,2010,7,27,1,1286,
627,2015,12,50,6,1360,578
628,2011,4,15,7,1119,
629,2009,3,10,5,1528,
630,2010,6,22,7,1238,
631,2008,7,30,4,1649,
632,2009,7,27,6,1236,
633,2008,2,7,2,1235,
634,2009,10,41,1,1418,
635,2009,10,41,7,1220,
636,2012,1,3,7,1010,
637,2007,5,19,2,1597,
638,2012,9,37,5,1569,608
639,2014,12,51,4,1315,620
640,2011,1,2,5,1325,
641,2008,7,27,5,1102,
642,2013,5,21,6,1251,514
643,2009,10,42,4,1270,
644,2008,7,27,3,1618,
645,2014,7,30,6,1347,534
646,2012,2,6,1,1345,
647,2014,6,24,5,1421,708
648,2006,10,42,5,1567,
649,2014,6,24,3,1571,576
650,2008,8,33,2,1619,
651,2009,2,6,2,1205,
652,2015,7,27,4,1372,603
653,2008,2,9,2,1429,
